No,IonCode,Name,Sample_type0,Sample_type1,Sample_type2,Sample_type3,Sample_type4,Sample_Name_Detailed,Temperature,pH,Conductivity ,ICPMS?,Carbon,Nitrogen,GWC,Na  ,Mg  ,K  ,Ca  ,Sr  ,Ba  , P,S,Se  ,Al  ,Tl  ,Pb  ,B,As  ,V  ,Cr  ,Mn  ,Fe  ,Co  ,Ni  ,Cu,Zn  ,Cd  ,U  ,Field-Season
1,IonCode_0101,Warren Cave,Other,Other,Cave,Subglacial,Subglacial,Warren Cave ,15.2,5.82,96.1,Yes,0.039,0.006,24.55,HIGH,5207.89,HIGH,11305.56,198.56,418,1415.63,1124.37,1.95,HIGH,0.17,45.94,41.54,39.54,2.09,1.02,1769.84,37968.02,2.23,0.29,3.5,138.45,0.16,7.8,2006
2,IonCode_0102,22 Blue,Other,Other,Cave,Subglacial,Subglacial,22 Blue,5.2,5.77,33.1,Yes,0.015,0.001,17.04,HIGH,5685.01,HIGH,13009.88,195.45,307.97,1707.65,428.44,1.79,HIGH,0.04,14.62,38.29,3.28,2.53,0.63,1451,28725.85,2.72,0.38,1.92,121.52,0.05,12.31,2011-2012
3,IonCode_0103,Exp Hot Soil 2,Other,Other,Circum,Exposed,Exp Hot Soil,Circum 2,25.3,6.79,125.6,Yes,0.03,0.037,24.2,HIGH,7711.77,20129.51,15410.49,261.39,402.84,1944.49,40.27,2.51,HIGH,0.09,8.7,34.21,3.83,1.88,2.09,2276.26,41691.48,3.54,0.82,1.56,169.9,0.42,6.23,2011-2012
4,IonCode_0104,Helo Cave,Other,Other,Cave,Subglacial,Subglacial,Helo Cave,7.1,5.79,77.1,Yes,0.025,0.004,16.86,HIGH,5513.87,HIGH,11013.91,182.51,296.46,1539.16,1291.96,2.18,HIGH,0.39,54.47,43.53,33.83,2.5,29.99,1620.6,37780.27,2.64,18.41,2.56,113.95,0.11,5.04,2011-2012
5,IonCode_0105,Harry's Dream Vent,Other,Other,Cave,Subglacial,Subglacial,Harry's Dream Vent,8.1,5.93,8.88,Yes,NA,NA,NA,49700,5880,34400,15100,192,357,2420,0,2.8,74500,0,27.6,21,17,2.3,1.4,1890,37500,2.26,0.42,2.2,138,0.098,6.5,2011-2012
6,IonCode_0106,TR_OS1 - 55,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 55,55,5.81,313,Yes,0.299,0.284,43,1855.67,2648.28,1653,5216.89,74.06,1220.19,861.37,240.34,4.11,HIGH,0.61,29.22,26.01,9.28,3.85,0.62,7493.65,81823.68,5.33,0.27,3.14,213.17,9.14,10.84,2011-2012
7,IonCode_0107,Exp Hot Soil 6,Other,Other,Circum,Exposed,Exp Hot Soil,Circum 6,17.1,6.46,114.6,Yes,0.025,0.005,29.45,HIGH,8870.47,HIGH,15716.1,232.28,356,2011.05,592.72,2.81,HIGH,0.07,13.41,49.36,10.04,1.77,5.15,2349.32,43387.18,3.52,2.95,2.89,181.95,0.13,6.46,2011-2012
8,IonCode_0108,TR1 - 62,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR1 - 62,62,4.41,228.4,Yes,1.015,0.253,44.82,3338.095,2258.68,2435.7,2557.92,23.825,943.805,1730.17,968.652,10.566,117670.088,0.17,29.736,76.503,11.455,1.294,50.252,1809.18,24367.393,1.243,0.655,1.093,55.024,2.501,12.119,2019
9,IonCode_0109,TR_OS1 - 15,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 15,15,3.82,497,Yes,0.908,0.144,36.87,12167.53,2456.71,10236.08,4349.89,57.35,256.64,1499.3,495.88,1.52,HIGH,0.17,47.12,43.97,36.18,4.04,1.75,2479.29,74785.55,2.62,0.66,3.06,141.55,1.44,4.81,2011-2012
10,IonCode_0110,Exp Hot Soil 7,Other,Other,Circum,Exposed,Exp Hot Soil,Circum 7,33.3,6.38,139.8,Yes,0.029,0.007,20.19,HIGH,7078.74,HIGH,13535.42,224.36,364.03,1664.97,618.46,2.19,HIGH,0.1,15.92,56.42,7.66,1.56,7.67,2127.69,43058.03,2.96,4.6,3.06,196.66,0.34,6.7,2010-2011
11,IonCode_0111,Crater 6 low,Other,Other,Crater,Exposed,Exp Hot Soil,Crater 6 low,60.6,7.02,110.7,Yes,0.034,0.039,28.82,HIGH,6699.8,20465.85,15275.39,261.83,391.61,1986.42,128.15,2.68,HIGH,0.09,8.2,40.09,3.48,1.67,1.32,2315.73,40432.65,3.33,0.52,1.95,166.4,0.4,6.14,2011-2012
12,IonCode_0112,OS3,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,OS3,65,6.2,195.5,Yes,NA,NA,NA,4508.04,1502.66,2705.39,3102.62,74.15,1046.09,457.81,188,3.88,HIGH,0.19,22.52,29.8,5.29,2.75,4.97,4296.84,47334.99,4.04,3.17,2.43,161.71,5.67,9.2,2011-2012
13,IonCode_0113,TR_OS1 - 45,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 45,45,4.34,434,Yes,0.732,0.155,45.99,4186.2,1310,3939.87,2098.1,51.14,1054.34,583.75,479.1,3.87,HIGH,0.34,77.26,26.99,29.6,3.84,0.65,6100.06,92010.39,4.1,0.18,3.85,267,6.01,11.36,2011-2012
14,IonCode_0114,TR_OS1 - 25,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 25,25,3.76,542,Yes,0.771,0.145,48.29,3446.42,2876.54,2418.93,4735.22,40.05,296.01,3211.1,650.72,1.35,HIGH,0.09,54.84,47.86,35.01,9.87,1.05,3468.7,162199.53,3.13,0.42,4.32,174.11,1.15,5.2,2011-2012
15,IonCode_0115,TR_OS1,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Old site 1,65,6.68,177.5,Yes,NA,NA,NA,4569.66,1994.07,3326.52,5509.49,111.67,1872.8,853.04,153.51,4.88,HIGH,0.24,24.89,24.39,6.41,2.71,0.89,3905.54,57415.48,3.39,0.36,2.74,163.58,15.29,10.64,2011-2012
16,IonCode_0116,TR_OS1 - 35,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,OS 1 - 35,35,4.04,579,Yes,0.91,0.199,49.73,2664.36,1319.93,2275.58,986.97,38.35,446.14,1905.26,816.82,1.44,HIGH,0.12,74.79,27.99,23.09,7.48,0.74,3523.19,165929.98,2.8,0.35,5.05,195.68,2.61,8.23,2011-2012
17,IonCode_0117,TR_OS1 - 5,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,OS1 - 5,5,3.97,393,Yes,0.786,0.119,32.25,13864.37,2377.47,12205.63,5888.16,64.14,261.51,1935.97,509.34,1.61,HIGH,0.22,38.83,34.68,31.03,3.49,2.41,1962.52,58583.4,2.28,1.2,2.54,123.87,1.07,5.26,2011-2012
18,IonCode_0118,TR_OS1 - 65,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,OS1 - 65,65,6.28,222.2,Yes,0.238,0.213,40.31,6312.53,1906.75,6113.37,7668.53,140.27,2221.01,998.24,-54.45,9.56,HIGH,0.28,25.3,33.44,10.37,3.86,0.83,6999.53,72935.17,4.75,0.22,2.56,194.42,19.65,10.5,2011-2012
20,IonCode_0120,TR ERB 1A - 65,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,ERB 1A ,65,8.35,81.6,?,0.62,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-2009
21,IonCode_0121,TR2 - 44,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR2 - 44,44,4.72,218,Yes,0.338,0.057,43.19,8422.667,5531.541,6283.748,7687.348,50.286,637.617,2538.689,264.398,8.152,84470.269,0.091,10.344,82.945,9.674,0.759,41.99,1174.66,17816.478,1.489,0.75,0.916,48.533,0.423,11.735,2019
22,IonCode_0122,Crater8 <3cm ,Other,Other,Crater,Exposed,Exp Hot Soil,Crater8 <3cm ,11,5.48,128.3,Yes,0.042,0.015,33.5,10494.92,6337.25,11151.11,18774.41,283.76,633.58,2422.68,-2.15,3.96,HIGH,0.35,23.07,27.65,11.47,2.95,1.18,3507.13,47965.65,3.88,0.42,1.3,155.01,3.95,9.14,2011-2012
23,IonCode_0123,Ice Cave,Other,Other,Cave,Subglacial,Subglacial,Ice Cave,43,5.88,NA,Yes,0.11,0.01,NA,35231.219,4438.907,23518.516,10112.091,83.357,225.882,3055.751,1003.93,5.256,62857.101,0.633,23.374,108.078,13.436,0,226.865,990.72,21212.836,2.096,4.515,2.193,64.688,0.27,5.919,2009-2010
24,IonCode_0124,WC - 30,Other,Western_Crater,Western_Crater,Exposed,Exp Hot Soil,WC - 30,30,7.62,5.09,Yes,0.115,0.026,19.21,11190.426,5214.091,7430.697,7018.928,47.565,353.47,2270.54,248.89,5.893,59021.521,0.074,6.668,81.269,6.944,0,75.629,1041.135,17488.914,1.625,1.16,1.131,52.473,0.326,8.062,2019
25,IonCode_0125,TR ERB 3A - 65,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,ERB 3A,65,8.42,76.6,?,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-2009
26,IonCode_0133,Sub Hot Soil 8,Other,Other,Circum,Subglacial,Subglacial,"Circum 8, 2011",4.2,6.24,117.4,Yes,0.026,0.007,20.91,HIGH,4608.56,HIGH,10095.48,137.07,224.66,1824.85,1319.83,1.81,HIGH,0.3,27.83,66.16,17.62,1.76,1.72,1366.51,32266.14,2.18,0.59,2.23,109.58,0.17,5.88,2011-2012
27,IonCode_0134,TR1 - 52,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR1 - 52,52,4.74,455,Yes,2.078,0.461,63.52,8281.324,2722.362,5979.546,5109.474,32.352,1237.094,1513.046,865.781,11.225,112740.323,0.273,29.116,81.826,14.091,2.413,39.113,2177.696,17127.757,1.428,0.552,0.941,54.026,5.17,11.502,2019
28,IonCode_0135,TR1 - 42,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR1 - 42,42,4.75,216.4,Yes,1.123,0.367,39.02,4047.35,2243.022,2692.619,5053.736,27.305,1161.169,1552.572,597.407,13.879,142524.348,0.238,23.971,78.143,16.553,1.73,17.223,1366.467,10924.022,1.058,0.478,0.487,36.329,4.529,14.628,2019
29,IonCode_0136,Hubert's Nightmare,Other,Other,Cave,Subglacial,Subglacial,Hubert's Nightmare,0.1,8.05,42,Yes,0.07,0.01,NA,49093.825,4303.215,34462.89,14515.26,122.049,404.804,2302.636,881.614,7.03,78652.569,0.153,22.398,107.371,17.41,0,96.98,1044.397,20802.041,1.302,1.785,1.354,68.934,0.171,7.476,2011-2012
30,IonCode_0139,Harry's Dream,Other,Other,Cave,Subglacial,Subglacial,Harry's Dream ,8.6,6.34,63.1,Yes,0.025,0.006,20.51,HIGH,6130.6,HIGH,13970.77,205.57,344.96,1828.2,552.23,2.04,HIGH,0.24,45,37.85,35.99,1.8,1.16,1881.83,39157.54,2.55,0.39,2.28,134.76,0.12,6.76,2011-2012
31,IonCode_0140,Crater1 0-1cm,Other,Other,Crater,Exposed,Exp Hot Soil,Crater 1 0-1cm,NA,NA,NA,Yes,NA,NA,NA,24200,6260,15800,9940,128,369,0,0,0,61700,0,11.6,0,0,0,34.5,2080,41600,3.17,0,0,0,0,5.94,2010-2011
32,IonCode_0142,Crater2 0-4 cm,Other,Other,Crater,Exposed,Exp Hot Soil,Crater2_0-4cm,NA,5.69,11.99,Yes,NA,NA,NA,21700,5050,15300,7970,119,531,1900,0,4.4,89900,0.17,50.3,10,21,2.6,4.8,3040,79400,3.49,2.1,2.7,197,2.4,12,2010-2011
33,IonCode_0143,TR2 - 24,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR2 - 24,24,4.53,290,Yes,0.355,0.149,49.83,2693.617,2299.258,2109.439,1568.983,44.925,295.181,873.164,1598.221,2.393,39088.427,0.169,13.697,79.89,5.35,7.285,23.373,2540.601,61122.351,2.402,0.96,1.646,85.937,0.948,5.485,2019
34,IonCode_0144,WC - 50,Other,Western_Crater,Western_Crater,Exposed,Exp Hot Soil,WC - 50,50,9.2,6.39,Yes,1.156,0.206,23.03,14740.547,3482.424,10330.685,4535.759,68.456,257.915,1249.752,1781.111,2.774,79960.45,0.08,35.97,81.289,7.416,6.659,29.254,1816.339,75346.108,2.44,1.707,3.087,121.98,0.716,7.464,2019
35,IonCode_0146,WC - 40,Other,Western_Crater,Western_Crater,Exposed,Exp Hot Soil,WC - 40,40,8.88,4.26,Yes,0.178,0.037,24.26,7357.252,6449.164,5703.581,8036.959,59.711,589.806,2535.137,137.89,9.128,73970.092,0.072,9.579,78.971,10.983,1.246,57.738,1207.972,19034.804,1.618,0.928,0.809,45.918,0.419,11.193,2019
36,IonCode_0147,WC - 35,Other,Western_Crater,Western_Crater,Exposed,Exp Hot Soil,WC - 35,35,8.08,4.89,Yes,0.287,0.052,26.42,10993.123,5445.726,8383.897,7907.702,52.737,640.351,2252.156,290.487,8.188,83805.662,0.099,10.791,81.408,10.044,0,64.816,1373.883,17977.07,1.486,1.596,0.986,46.432,0.467,11.616,2019
38,IonCode_0149,TR1 - 32,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR1 - 32,32,4.04,183.4,Yes,0.638,0.132,29.08,9613.008,3176.773,6519.03,4375.758,50.597,298.781,1815.532,956.104,5.03,46659.14,0.106,27.691,81.665,8.309,2.724,44.199,1663.876,39936.289,1.94,2.844,1.781,74.481,0.771,5.152,2019
42,IonCode_0154,ERB Crater 1,Other,Other,Crater,Exposed,Exp Hot Soil,ERB Crater 1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-2012
47,IonCode_0160,Crater 2 Mat,Other,Other,Mat,Exposed,Exp Hot Soil,Crater 2 Mat,NA,5.15,38.3,NA,NA,NA,36.96498054,32457.1,4934.2,25225.9,10822.5,89.3,541.4,1845.7,604.7,15.8,127382.2,0.4,56.2,11.8,36.6,3.7,2.4,1225.1,31638.8,1.9,0,1.8,114,1.1,11.7,2010-2011
50,IonCode_0166,WC - 10,Other,Western_Crater,Western_Crater,Exposed,Exp Hot Soil,WC - 10,10,6.93,6.39,Yes,0.082,0.023,30.13,10365.337,5277.528,7864.462,7752.413,47.927,388.232,2646.477,245.425,6.824,79692.294,0.045,6.582,80.877,8.351,0.836,59.748,1106.674,20184.889,1.855,1.802,1.111,58.086,0.264,9.127,2019
54,IonCode_0174,Crater 1 Mat,Other,Other,Mat,Exposed,Exp Hot Soil,ERB Crater #1 Mat,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-2011
55,IonCode_0175,TR Mat 7A,Other,Other,Mat,Exposed,Tramway Ridge,K020-09/10 7A,52.1,7.16,120.3,Yes,0.15,NA,65.46184739,18142.6,2521,13457,7958.4,57.2,721.4,1210.2,741.7,15.4,78566.2,0.3,168.7,10.9,39.3,2.3,10.6,1499.7,24320.9,1.8,0.8,3.6,114.8,13.6,8,2009-2010
57,IonCode_0179,TR Mat 1A,Other,Other,Mat,Exposed,Tramway Ridge,K020-09/10 1A,50,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-2010
58,IonCode_0181,TR Mat 9A,Other,Other,Mat,Exposed,Tramway Ridge,K020-09/10 9A,62.3,6.83,96.3,No,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-2010
60,IonCode_0183,TR2 - 64,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR2 - 64,64,6.2,313,Yes,2.904,0.404,41.64,21195.863,4201.867,14834.971,6711.516,99.537,374.685,1283.913,866.023,3.838,76003.437,0.123,49.926,82.114,11.163,8.546,58.341,1732.134,69908.916,2.585,3,2.255,121.961,2.544,8.782,2019
61,IonCode_0184,Hut Cave,Other,Other,Cave,Subglacial,Subglacial,Hut Cave,7.4,6.36,75.6,Yes,0.024,0.005,19.81,HIGH,5788.48,HIGH,12368.25,202.34,332.98,1970.37,1522.17,2.22,HIGH,0.29,29.83,36.71,22.82,1.91,4.27,1627.47,34531.95,2.33,2.68,2.36,161.67,0.17,5.83,2011-2012
62,IonCode_0301,Crater 9B,Other,Other,Crater,Exposed,Exp Hot Soil,Crater 9B,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,IonCode_0303,WC - 20,Other,Western_Crater,Western_Crater,Exposed,Exp Hot Soil,WC - 20,20,7.43,5.63,Yes,0.165,0.037,35.88,10570.557,7565.6,8032.508,8597.018,52.86,507.75,2783.775,219.324,7.336,87388.592,0.065,7.977,79.717,8.565,2.455,87.779,1369.972,21114.197,2.174,1.417,1.296,65.978,0.382,10.216,2019
64,IonCode_0304,TR2 - 34,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR2 - 34,34,5.75,957,Yes,1.294,0.305,42.33,12882.745,2435.435,9131.028,3322.22,62.984,283.63,1227.463,799.177,2.45,93913.38,0.202,13.743,84.522,5.071,4.738,50.47,2024.355,57661.994,2.044,1.626,2.259,113.999,4.22,6.611,2019
